x,y
1215,1509
865,1510
866,1510
1215,1510
1216,1510
1217,1510
864,1511
865,1511
1217,1511
1218,1511
1219,1511
863,1512
864,1512
1219,1512
1220,1512
1221,1512
1222,1512
862,1513
863,1513
1222,1513
1223,1513
1224,1513
861,1514
862,1514
1224,1514
1225,1514
1226,1514
1227,1514
860,1515
861,1515
1227,1515
1228,1515
1229,1515
859,1516
860,1516
1229,1516
1230,1516
1231,1516
1232,1516
858,1517
859,1517
1232,1517
1233,1517
1234,1517
857,1518
858,1518
1234,1518
1235,1518
1236,1518
1237,1518
856,1519
857,1519
1237,1519
1238,1519
1239,1519
855,1520
856,1520
1239,1520
1240,1520
1241,1520
1242,1520
854,1521
855,1521
1242,1521
1243,1521
1244,1521
853,1522
854,1522
1244,1522
1245,1522
1246,1522
1247,1522
852,1523
853,1523
1247,1523
1248,1523
1249,1523
850,1524
851,1524
852,1524
1249,1524
1250,1524
1251,1524
1252,1524
849,1525
850,1525
1252,1525
1253,1525
1254,1525
1255,1525
848,1526
849,1526
1255,1526
1256,1526
1257,1526
847,1527
848,1527
1257,1527
1258,1527
1259,1527
846,1528
847,1528
1259,1528
1260,1528
1261,1528
1262,1528
845,1529
846,1529
1262,1529
1263,1529
1264,1529
844,1530
845,1530
1264,1530
1265,1530
1266,1530
1267,1530
843,1531
844,1531
1267,1531
1268,1531
1269,1531
842,1532
843,1532
1269,1532
1270,1532
1271,1532
1272,1532
841,1533
842,1533
1272,1533
1273,1533
1274,1533
840,1534
841,1534
1274,1534
1275,1534
1276,1534
839,1535
840,1535
1276,1535
1277,1535
1278,1535
838,1536
839,1536
1278,1536
1279,1536
1280,1536
1281,1536
837,1537
838,1537
1281,1537
1282,1537
1283,1537
836,1538
837,1538
1283,1538
1284,1538
1285,1538
835,1539
836,1539
1285,1539
1286,1539
1287,1539
1288,1539
834,1540
835,1540
1288,1540
1289,1540
1290,1540
833,1541
834,1541
1290,1541
1291,1541
1292,1541
832,1542
833,1542
1292,1542
1293,1542
1294,1542
831,1543
832,1543
1294,1543
1295,1543
1296,1543
830,1544
831,1544
1296,1544
1297,1544
1298,1544
1299,1544
829,1545
830,1545
1299,1545
1300,1545
1301,1545
828,1546
829,1546
1301,1546
1302,1546
1303,1546
827,1547
828,1547
1303,1547
1304,1547
1305,1547
826,1548
827,1548
1305,1548
1306,1548
1307,1548
825,1549
826,1549
1307,1549
1308,1549
1309,1549
824,1550
825,1550
1309,1550
1310,1550
1311,1550
1312,1550
823,1551
824,1551
1312,1551
1313,1551
1314,1551
822,1552
823,1552
1314,1552
1315,1552
1316,1552
821,1553
822,1553
1316,1553
1317,1553
1318,1553
820,1554
821,1554
1318,1554
1319,1554
1320,1554
818,1555
819,1555
820,1555
1320,1555
1321,1555
1322,1555
1323,1555
817,1556
818,1556
1323,1556
1324,1556
1325,1556
816,1557
817,1557
1325,1557
1326,1557
1327,1557
1328,1557
814,1558
815,1558
816,1558
1328,1558
1329,1558
1330,1558
813,1559
814,1559
1330,1559
1331,1559
1332,1559
1333,1559
811,1560
812,1560
813,1560
1333,1560
1334,1560
1335,1560
810,1561
811,1561
1335,1561
1336,1561
1337,1561
1338,1561
808,1562
809,1562
810,1562
1338,1562
1339,1562
1340,1562
807,1563
808,1563
1340,1563
1341,1563
1342,1563
1343,1563
805,1564
806,1564
807,1564
1343,1564
1344,1564
1345,1564
804,1565
805,1565
1345,1565
1346,1565
1347,1565
1348,1565
802,1566
803,1566
804,1566
1348,1566
1349,1566
1350,1566
801,1567
802,1567
1350,1567
1351,1567
1352,1567
800,1568
801,1568
1352,1568
1353,1568
1354,1568
1355,1568
798,1569
799,1569
800,1569
1355,1569
1356,1569
1357,1569
797,1570
798,1570
1357,1570
1358,1570
1359,1570
795,1571
796,1571
797,1571
1359,1571
1360,1571
1361,1571
794,1572
795,1572
1361,1572
1362,1572
1363,1572
1364,1572
793,1573
794,1573
1364,1573
1365,1573
1366,1573
791,1574
792,1574
793,1574
1366,1574
1367,1574
1368,1574
790,1575
791,1575
1368,1575
1369,1575
1370,1575
789,1576
790,1576
1370,1576
1371,1576
1372,1576
787,1577
788,1577
789,1577
1372,1577
1373,1577
1374,1577
786,1578
787,1578
1374,1578
